1,1.8339,1.2327,10.858
2,1.4676,0.58864,11.148
3,-1.269,2.5962,12.103
4,-2.2542,3.2474,9.626
5,-1.0475,1.4135,8.6133
6,-0.46693,1.3344,8.2446
7,0.21063,3.0846,8.2697
8,1.3934,3.2833,9.8212
9,2.0901,1.3057,11.383
10,0.88699,0.21396,10.957
11,-0.74945,0.82687,10.422
12,-0.95056,1.7355,8.9987
13,-0.025192,2.1784,7.5395
14,0.39499,2.3747,7.6975
15,0.051422,1.6553,9.9492
16,-0.71234,1.0926,10.754
17,-1.4581,0.97171,10.31
18,-1.7095,1.4805,9.2729
19,-1.3552,2.3616,8.2565
20,-0.83444,2.3627,8.1081
21,-0.23709,1.5367,9.3064
22,-0.30771,0.92622,10.299
23,-1.2582,0.33127,10.286
24,-1.9884,0.37436,10.077
25,-2.3332,1.3165,10.263
26,-2.3835,2.2706,9.6859
27,-1.5407,1.4218,10.098
28,-1.6054,0.74786,10.153
29,-1.494,0.51802,10.76
30,-0.73149,0.64012,10.514
31,-0.16406,0.55513,9.7074
32,-0.62135,0.70357,10.26
33,-1.9944,1.8097,8.751
34,-2.192,2.0742,7.2582
35,-1.5599,2.1209,8.2015
36,-0.98528,2.2969,8.3104
37,-0.85718,1.5846,7.9345
38,-1.3288,0.69398,8.8982
39,-1.0343,-0.98555,8.3631
40,-1.1433,1.0519,5.198
41,-1.1816,2.7662,4.0942
42,0.5925,0.78377,6.3807
43,1.0582,0.94179,8.8707
44,-0.62854,2.984,7.6879
45,-4.6161,8.7086,7.5874
46,-8.4875,13.819,10.858
47,-4.4928,11.268,16.295
48,3.6966,4.6959,26.522
49,6.7073,4.7617,27.718
50,6.1016,7.1452,17.987
51,5.9663,6.7669,12.15
52,3.8187,4.9628,11.81
53,-0.18561,2.2011,14.875
54,-1.2869,1.9629,19.082
55,0.87981,1.3129,14.565
56,4.1431,1.1142,5.0232
57,4.1658,2.1856,-0.20696
58,3.8127,0.92024,-1.8781
59,2.211,-0.5103,-2.0158
60,-0.3963,1.4146,-0.7253
61,-1.3432,1.3955,0.79143
62,-1.6724,0.75145,1.1721
63,-2.192,1.1046,0.7579
64,-2.4529,0.98727,0.048035
65,-1.8089,0.24028,-0.20216
66,0.21782,0.28339,1.6282
67,2.3103,0.039169,3.874
68,2.6108,0.9406,5.5188
69,1.0677,3.2797,6.3603
70,-0.24905,6.5969,9.5398
71,-1.1481,13.179,12.873
72,-1.8735,19.237,15.195
73,2.5498,13.526,16.192
74,3.268,12.803,19.081
75,4.9535,10.085,18.133
76,7.1562,6.8986,15.112
77,6.3194,5.0119,13.084
78,3.2632,2.6907,17.303
79,1.0306,0.25345,19.346
80,1.8183,-0.62521,15.689
81,3.3027,-0.10927,8.6025
82,2.2433,1.095,1.153
83,1.604,1.0759,-2.0732
84,-0.74945,1.2542,-2.0289
85,-2.101,0.73709,0.19887
86,-1.6425,-0.047012,0.27788
87,-0.61058,-0.008713,-0.31947
88,0.029861,0.4378,-1.0485
89,-0.23349,0.58505,-0.12795
90,-0.34602,0.28697,2.6577
91,0.48717,0.18402,4.8113
92,2.5186,0.52879,7.1217
93,3.936,1.6373,9.8188
94,3.3351,3.4928,11.417
95,1.1695,7.3702,12.825
96,2.2242,10.045,17.48
97,8.1366,8.8929,25.688
98,6.815,8.6727,27.062
99,2.8993,10.909,22.29
100,3.3782,10.869,16.586
101,6.2021,8.4835,11.663
102,9.3433,4.9904,10.385
103,7.8038,3.0475,12.663
104,4.4304,2.6369,12.359
105,3.177,1.5391,10.269
106,2.4157,0.039169,7.822
107,1.2713,-0.78084,4.5036
108,-1.4102,-0.43368,0.34012
109,-4.2198,0.72272,-3.0812
110,-4.4413,1.7151,-3.9611
111,-2.4661,2.1138,-1.9703
112,1.4305,1.0795,2.4805
113,3.0035,-0.60846,3.8117
114,0.48357,0.076279,3.8919
115,-2.7558,1.1309,3.1856
116,-2.1261,1.5667,3.1066
117,0.94325,1.599,4.4438
118,3.0035,1.9976,6.5998
119,2.2218,4.6612,7.6125
120,-0.86078,8.9612,8.6624
